symbol,report_date,revenue_low,revenue_high,revenue_avg,ebitda_low,ebitda_high,ebitda_avg,ebit_low,ebit_high,ebit_avg,net_income_low,net_income_high,net_income_avg,sga_expense_low,sga_expense_high,sga_expense_avg,eps_avg,eps_high,eps_low,num_analysts_revenue,num_analysts_eps,source
COIN,2029-12-31,3944601447,6279740941,4831000000,287834366,458227600,352514149,-1386041960,-870638323,-1066281041,653652610,1193052771,858403783,1471082442,2341939171,1801652049,3.1400,4.3641,2.3910,5,4,FMP
COIN,2028-12-31,8116929489,12922018893,9940899450,592285757,942909232,725379365,-2852101794,-1791539646,-2194119772,2211179801,4035867399,2903815972,3027092247,4819081312,3707315642,10.6220,14.7630,8.0884,4,5,FMP
COIN,2027-12-31,8249316270,8758571711,8503943991,601945913,639105869,620525891,-1933160622,-1820759583,-1876960103,1325886656,3508941431,2083873740,3076463995,3266383496,3171423746,8.4823,12.8355,4.8500,10,10,FMP
COIN,2026-12-31,6148379065,11618936829,8099336943,448642230,847824391,591002043,-2564490181,-1357048237,-1787656682,584613982,4042895922,2116638280,2292949646,4333115576,3020531360,7.6644,14.7887,2.1385,24,23,FMP
COIN,2025-12-31,6395191235,8641121490,7372234341,466651914,630535622,537945957,-1907237430,-1411523736,-1627173196,392725198,3174877469,1438616396,2384994699,3222582124,2749368890,5.2624,11.6136,1.4366,16,16,FMP
COIN,2024-12-31,5611761650,6641442687,6064821307,409485693,484620683,442545089,-1465875476,-1238607960,-1338605667,1693931378,2244039716,1968985547,2092825890,2476830641,2261787981,7.0061,8.2086,6.1963,16,15,FMP
COIN,2023-12-31,2855831065,3050314184,2958190602,-6569191619,-3764332847,-5166762233,-6447398262,-3676541855,-5061970059,66095485,123408514,94752000,1065041169,1137570855,1103214688,-0.7733,-0.5658,-1.1128,10,9,FMP
COIN,2022-12-31,2280521700,3833748087,3139866588,-7025873390,-4026024435,-5525948913,-6895613116,-3932130327,-5413871722,-5351418418,-2866128027,-4108773223,933497392,1569287345,1285257348,-11.9055,-7.6696,-15.3258,4,4,FMP
DASH,2029-12-31,22002458023,23196818734,22603700000,-1047487134,-993553985,-1020703968,-2164724253,-2053266659,-2109374486,3949079464,4230061910,4090525824,9390445053,9900187130,9647049554,9.5075,9.8318,9.1787,11,8,FMP
DASH,2028-12-31,20100091010,21191185421,20649348663,-956919754,-907649750,-932452303,-1977558801,-1875738005,-1926994661,3011130389,3225377999,3118983454,8578532453,9044201430,8812950526,7.2494,7.4967,6.9987,8,7,FMP
DASH,2027-12-31,17725350170,17771732231,17748541201,-802509218,-800414766,-801461992,-1658455852,-1654127484,-1656291668,1661487047,3408755744,2345672770,7565015084,7584810517,7574912801,5.2210,7.9229,3.8618,18,14,FMP
DASH,2026-12-31,14703404820,15860133591,15267935383,-716188115,-663954292,-689446517,-1480065704,-1372119918,-1424801840,1056420511,2193076854,1564217670,6275276831,6768957944,6516213240,3.5829,5.0973,2.4554,37,33,FMP
DASH,2025-12-31,12528152989,13103116532,12840852460,-591690875,-565727534,-579847948,-1222781213,-1169125686,-1198306762,538615658,1466772424,932962569,5346899521,5592288629,5480356755,2.1685,3.4092,1.2519,25,23,FMP
DASH,2024-12-31,10569867111,10730016613,10689979238,-484529990,-477298199,-482722042,-1001323822,-986378690,-997587539,75765616,169356158,122560887,4511121267,4579471590,4562384009,0.3004,0.3936,0.1761,32,27,FMP
DASH,2023-12-31,8457407500,8627355404,8577370727,234973480,568456396,401714938,-737815637,-491877092,-614846365,-669600000,-446399999,-558000000,1856423168,2784634754,2320528961,-1.1663,-1.0205,-1.3704,26,21,FMP
DASH,2022-12-31,6353355293,6654502179,6545792605,213612253,516778540,365195398,-670741489,-447160993,-558951241,-655767044,-437178029,-546472537,1687657427,2531486141,2109571784,-2.6368,-2.5360,-2.6937,15,15,FMP
EXE,2029-12-31,13260479218,18693849598,15135000000,3544335330,4996597068,4045367768,1169399199,1648550735,1334707185,2593455156,4036074183,3091160526,3069230714,4326822313,3503101668,19.6903,25.7093,16.5200,2,2,FMP
EXE,2028-12-31,13037499901,18379506372,14880500000,3484736166,4912577646,3977343579,1149735368,1620829812,1312263645,1991683348,3099565717,2373904468,3017620591,4254065373,3444195862,15.1215,19.7438,12.6868,1,5,FMP
EXE,2027-12-31,11409766748,16084823182,13022668102,3049666511,4299241841,3480771840,1006190793,1418469050,1148427399,1114147800,2244467037,2002715850,2640870361,3722944890,3014187667,10.6862,14.2970,7.0970,5,7,FMP
EXE,2026-12-31,11088327056,15971216110,12578109349,2963750305,4268876305,3361947680,977844056,1408450406,1109223186,1331316964,2912453666,2404771020,2566470895,3696649738,2911291433,11.7767,18.5520,8.4803,11,15,FMP
EXE,2025-12-31,9829002056,12557771963,11145871116,2627150850,3356511790,2979131005,866788217,1107429697,982918682,782571331,1988020794,1263778726,2274991311,2906584202,2579789871,8.0501,12.6634,4.9849,9,15,FMP
EXE,2024-12-31,3700356196,4870877033,4228978510,989051978,1301915358,1130345117,326322563,429547048,372940072,110502987,230089359,170296173,856473337,1127398576,978826671,1.2632,1.4656,0.7039,8,12,FMP
EXE,2023-12-31,6558952584,9246428512,7486135737,1753113668,2471437322,2000936387,578413025,815412921,660178338,587867292,914870672,700684298,1518115476,2140150587,1732718505,4.4633,5.8276,3.7446,7,10,FMP
EXE,2022-12-31,7293684058,8939538334,8042664043,1992710311,2442374809,2197339429,894903516,1096842723,986800123,2069323117,2695656655,2354348634,1232212000,1510266461,1358746426,16.4667,18.8539,14.4732,2,8,FMP
TKO,2029-12-31,5123971228,5964855110,5580227409,1839006240,2140801593,2002757738,1364277094,1588165669,1485757061,1102887992,1344636409,1234059204,1448787377,1686544753,1577792433,7.1800,7.8234,6.4168,11,4,FMP
TKO,2028-12-31,6536174357,7608811852,7118178005,2345849517,2730821828,2554732099,1740281621,2025875490,1895242336,1127466051,1374601016,1261559130,1848083543,2151368553,2012643316,7.3400,7.9977,6.5598,6,3,FMP
TKO,2027-12-31,5496332690,5499189450,5497761070,1972647711,1973673010,1973160360,1463419769,1464180392,1463800080,332706142,1754134377,547196650,1554071455,1554879195,1554475325,5.6094,10.2059,1.9358,12,6,FMP
TKO,2026-12-31,5275811470,6116182040,5736224197,1893502087,2195113211,2058745380,1404705144,1628457048,1527291807,382914133,1567275814,548785740,1491719747,1729331985,1621900054,5.3088,9.1187,2.2279,18,10,FMP
TKO,2025-12-31,4527915356,4675886447,4572306684,1625080279,1678187478,1641012439,1205574920,1244972793,1217394282,224132995,655737467,474009359,1280254381,1322092760,1292805895,2.7579,3.8152,1.3041,11,6,FMP
TKO,2024-12-31,2748971681,2788956724,2768964203,986612892,1000963626,993788259,731924308,742570480,737247394,-12084842,-4976111,-8530477,777263434,788569084,782916259,-0.0455,-0.0290,-0.0703,14,5,FMP
TKO,2023-12-31,2601394813,2661427000,2631410907,933647181,955192885,944420033,692631398,708615199,700623299,24653684,817488598,421071141,735536520,752510440,744023480,1.9705,4.7563,0.1434,9,4,FMP
TKO,2022-12-31,1256190246,1450216664,1301600184,442522443,510872794,458519158,339547524,391992757,351821805,194259334,233692513,203488287,289993748,334785091,300476713,2.4574,2.8221,2.3459,3,2,FMP
WSM,2028-02-02,8282827944,8285378608,8284103276,1567897790,1568380617,1568139203,1201864431,1202234540,1202049486,1183927274,1296207708,1240067491,2174690728,2175360416,2175025572,9.6855,10.1234,9.2465,8,6,FMP
WSM,2027-02-02,7798491624,8099298872,7971449558,1476215353,1533156657,1508955423,1131585705,1175233784,1156682446,1098788971,1206112938,1099072830,2047526225,2126504412,2092937046,9.0571,9.4197,8.5815,20,17,FMP
WSM,2026-02-02,7617832087,8013431889,7729411519,1442017409,1516902467,1463138836,1105371437,1162774214,1121561964,1028107778,1158068113,1059223670,2000093316,2103959680,2029388957,8.5420,9.0445,8.0295,16,15,FMP
WSM,2025-02-02,7580778247,7620941310,7600859779,1435003303,1442605969,1438804636,1099994808,1105822595,1102908701,1095450500,1096745499,1096098000,1990364677,2000909656,1995637167,8.4464,8.5579,8.2943,14,14,FMP
WSM,2024-02-02,7645913720,7746122287,7696018004,1103915359,1655873042,1379894201,942489106,1413733663,1178111385,760252797,1140379202,950316000,1679824350,2519736527,2099780439,7.2541,7.3094,7.1989,15,17,FMP
WSM,2023-01-29,8712181039,9063699694,8820776838,1467196865,1526395252,1485485215,1014888222,1055836882,1027538624,1057931194,1113630403,1075138199,2295460308,2388077428,2324072815,8.2358,8.5307,8.1040,7,7,FMP
APO,2029-12-31,8118150536,8777374955,8425000000,2438060350,2636040039,2530214039,2232502288,2413789887,2316886302,0,0,0,1979502346,2140245397,2054323480,0.0000,0.0000,0.0000,1,0,FMP
APO,2028-12-31,6991727037,7559481623,7256000000,2099770433,2270279706,2179137456,1922734314,2078867587,1995409734,0,0,0,1704839053,1843278409,1769278477,0.0000,0.0000,0.0000,1,1,FMP
APO,2027-12-31,23115724497,24992808445,23989451540,6942163874,7505893745,7204563451,6356855247,6873055851,6597131356,6156546253,7291535924,6724041089,5636460013,6094161808,5849506657,11.1319,12.0714,10.1924,2,2,FMP
