symbol,rating_date,analyst_ratings_buy,analyst_ratings_hold,analyst_ratings_sell,analyst_ratings_strong_sell,source
COIN,2025-06-01,10,16,1,1,FMP
COIN,2025-05-01,10,15,1,1,FMP
COIN,2025-04-01,11,15,1,0,FMP
COIN,2025-03-01,9,15,0,1,FMP
COIN,2025-02-01,8,14,1,1,FMP
COIN,2025-01-01,8,14,2,1,FMP
COIN,2024-12-01,9,14,1,1,FMP
COIN,2024-11-01,9,13,1,1,FMP
COIN,2024-10-01,8,13,2,1,FMP
COIN,2024-09-01,8,14,2,1,FMP
COIN,2024-08-01,8,14,6,2,FMP
COIN,2024-07-01,7,14,6,0,FMP
COIN,2024-06-01,7,14,6,0,FMP
COIN,2024-05-01,7,12,6,0,FMP
COIN,2024-04-01,7,12,6,0,FMP
COIN,2024-03-01,7,12,6,0,FMP
COIN,2024-02-01,7,12,6,0,FMP
COIN,2024-01-01,7,12,6,0,FMP
COIN,2023-12-01,7,12,6,0,FMP
COIN,2023-11-01,7,12,6,0,FMP
COIN,2023-10-01,7,12,6,0,FMP
COIN,2023-09-01,7,12,6,0,FMP
COIN,2023-08-01,7,12,6,0,FMP
COIN,2023-07-01,7,12,6,0,FMP
COIN,2023-06-01,7,12,6,0,FMP
COIN,2023-05-01,8,6,1,0,FMP
COIN,2023-04-01,8,6,1,0,FMP
COIN,2023-03-01,8,6,1,0,FMP
COIN,2023-02-01,8,6,1,0,FMP
COIN,2023-01-01,0,0,0,0,FMP
COIN,2022-12-01,0,0,0,0,FMP
COIN,2022-11-01,0,0,0,0,FMP
COIN,2022-10-01,0,0,0,0,FMP
COIN,2022-09-01,11,7,2,0,FMP
COIN,2022-08-01,0,0,0,0,FMP
COIN,2022-07-01,9,9,2,0,FMP
DASH,2025-06-01,21,12,0,0,FMP
DASH,2025-05-01,21,12,0,0,FMP
DASH,2025-04-01,22,15,0,0,FMP
DASH,2025-03-01,22,15,0,0,FMP
DASH,2025-02-01,22,15,0,0,FMP
DASH,2025-01-01,22,15,0,0,FMP
DASH,2024-12-01,23,15,0,1,FMP
DASH,2024-11-01,22,16,0,0,FMP
DASH,2024-10-01,22,16,0,0,FMP
DASH,2024-09-01,20,16,0,0,FMP
DASH,2024-08-01,17,16,0,0,FMP
DASH,2024-07-01,16,15,0,0,FMP
DASH,2024-06-01,16,14,0,0,FMP
DASH,2024-05-01,7,13,0,0,FMP
DASH,2024-04-01,7,13,0,0,FMP
DASH,2024-03-01,7,13,0,0,FMP
DASH,2024-02-01,7,13,0,0,FMP
DASH,2024-01-01,7,13,0,0,FMP
DASH,2023-12-01,7,13,0,0,FMP
DASH,2023-11-01,7,13,0,0,FMP
DASH,2023-10-01,7,13,0,0,FMP
DASH,2023-09-01,7,13,0,0,FMP
DASH,2023-08-01,7,13,0,0,FMP
DASH,2023-07-01,7,13,0,0,FMP
DASH,2023-06-01,7,13,0,0,FMP
DASH,2023-05-01,7,13,0,0,FMP
DASH,2023-04-01,7,13,0,0,FMP
DASH,2023-03-01,7,13,0,0,FMP
DASH,2023-02-01,7,13,0,0,FMP
DASH,2023-01-01,0,0,0,0,FMP
DASH,2022-12-01,0,0,0,0,FMP
DASH,2022-11-01,0,0,0,0,FMP
DASH,2022-10-01,0,0,0,0,FMP
DASH,2022-09-01,9,13,0,0,FMP
DASH,2022-08-01,0,0,0,0,FMP
DASH,2022-07-01,9,13,0,0,FMP
EXE,2025-06-01,15,2,0,0,FMP
EXE,2025-05-01,15,3,0,0,FMP
EXE,2025-04-01,15,6,0,0,FMP
EXE,2025-03-01,13,7,0,0,FMP
EXE,2025-02-01,12,7,0,0,FMP
EXE,2025-01-01,11,7,0,0,FMP
EXE,2024-12-01,10,7,0,0,FMP
EXE,2024-11-01,9,8,0,0,FMP
EXE,2024-10-01,9,8,0,0,FMP
EXE,2024-09-01,8,8,0,0,FMP
EXE,2024-08-01,8,7,0,0,FMP
EXE,2024-07-01,7,7,0,0,FMP
TKO,2025-06-01,14,3,0,0,FMP
TKO,2025-05-01,13,3,0,0,FMP
TKO,2025-04-01,13,3,0,0,FMP
TKO,2025-03-01,12,4,0,0,FMP
TKO,2025-02-01,12,4,0,0,FMP
TKO,2025-01-01,12,3,0,0,FMP
TKO,2024-12-01,11,3,0,0,FMP
TKO,2024-11-01,11,3,0,0,FMP
TKO,2024-10-01,13,3,0,0,FMP
TKO,2024-09-01,13,3,0,0,FMP
TKO,2024-08-01,12,3,0,0,FMP
TKO,2024-07-01,7,2,0,0,FMP
TKO,2024-06-01,7,2,0,0,FMP
TKO,2024-05-01,3,2,0,0,FMP
TKO,2024-04-01,3,2,0,0,FMP
TKO,2024-03-01,3,2,0,0,FMP
TKO,2024-02-01,3,2,0,0,FMP
TKO,2024-01-01,3,2,0,0,FMP
TKO,2023-12-01,3,2,0,0,FMP
TKO,2023-11-01,3,2,0,0,FMP
TKO,2023-10-01,3,2,0,0,FMP
TKO,2023-09-01,3,2,0,0,FMP
TKO,2023-08-01,0,0,0,0,FMP
TKO,2023-07-01,0,0,0,0,FMP
TKO,2023-06-01,0,0,0,0,FMP
WSM,2025-06-01,6,16,0,1,FMP
WSM,2025-05-01,7,16,0,2,FMP
WSM,2025-04-01,6,19,0,2,FMP
WSM,2025-03-01,4,18,2,2,FMP
WSM,2025-02-01,4,17,2,1,FMP
WSM,2025-01-01,4,17,2,2,FMP
WSM,2024-12-01,4,17,1,2,FMP
WSM,2024-11-01,4,17,3,2,FMP
WSM,2024-10-01,5,17,3,1,FMP
WSM,2024-09-01,5,17,3,1,FMP
WSM,2024-08-01,4,18,4,1,FMP
WSM,2024-07-01,3,18,4,0,FMP
WSM,2024-06-01,3,18,4,0,FMP
WSM,2024-05-01,3,16,4,0,FMP
WSM,2024-04-01,3,16,4,0,FMP
WSM,2024-03-01,3,16,4,0,FMP
WSM,2024-02-01,3,16,4,0,FMP
WSM,2024-01-01,3,16,4,0,FMP
WSM,2023-12-01,3,16,4,0,FMP
WSM,2023-11-01,3,16,4,0,FMP
WSM,2023-10-01,3,16,4,0,FMP
WSM,2023-09-01,3,16,4,0,FMP
WSM,2023-08-01,3,16,4,0,FMP
WSM,2023-07-01,4,14,6,1,FMP
WSM,2023-06-01,4,15,5,1,FMP
WSM,2023-05-01,3,16,4,0,FMP
WSM,2023-04-01,3,16,4,0,FMP
WSM,2023-03-01,3,16,4,0,FMP
WSM,2023-02-01,3,16,4,0,FMP
WSM,2023-01-01,4,17,3,1,FMP
WSM,2022-12-01,4,17,3,1,FMP
WSM,2022-11-01,4,17,3,1,FMP
WSM,2022-10-01,5,11,6,0,FMP
WSM,2022-09-01,5,11,6,0,FMP
WSM,2022-08-01,4,17,3,1,FMP
WSM,2022-07-01,5,11,6,0,FMP
APO,2025-06-01,10,4,0,0,FMP
APO,2025-05-01,10,5,0,0,FMP
APO,2025-04-01,10,5,0,0,FMP
APO,2025-03-01,9,5,0,0,FMP
APO,2025-02-01,9,5,0,0,FMP
APO,2025-01-01,9,5,0,0,FMP
APO,2024-12-01,9,5,0,0,FMP
APO,2024-11-01,9,5,0,0,FMP
APO,2024-10-01,11,5,0,0,FMP
APO,2024-09-01,11,5,0,0,FMP
APO,2024-08-01,9,6,0,0,FMP
APO,2024-07-01,9,6,0,0,FMP
APO,2024-06-01,9,6,0,0,FMP
APO,2024-05-01,5,4,0,0,FMP
APO,2024-04-01,5,4,0,0,FMP
APO,2024-03-01,5,4,0,0,FMP
APO,2024-02-01,5,4,0,0,FMP
APO,2024-01-01,5,4,0,0,FMP
APO,2023-12-01,5,4,0,0,FMP
APO,2023-11-01,5,4,0,0,FMP
APO,2023-10-01,5,4,0,0,FMP
APO,2023-09-01,5,4,0,0,FMP
APO,2023-08-01,5,4,0,0,FMP
APO,2023-07-01,8,5,0,0,FMP
APO,2023-06-01,8,4,0,0,FMP
APO,2023-05-01,5,4,0,0,FMP
APO,2023-04-01,5,4,0,0,FMP
APO,2023-03-01,5,4,0,0,FMP
APO,2023-02-01,5,4,0,0,FMP
APO,2023-01-01,5,4,0,0,FMP
APO,2022-12-01,5,4,0,0,FMP
APO,2022-11-01,5,4,0,0,FMP
APO,2022-10-01,5,4,0,0,FMP
APO,2022-09-01,8,4,1,0,FMP
APO,2022-08-01,5,4,0,0,FMP
APO,2022-07-01,8,3,1,0,FMP
LII,2025-06-01,4,8,4,3,FMP
LII,2025-05-01,4,9,4,3,FMP
LII,2025-04-01,4,10,4,2,FMP
LII,2025-03-01,3,10,5,2,FMP
LII,2025-02-01,3,12,5,1,FMP
LII,2025-01-01,5,12,4,1,FMP
LII,2024-12-01,5,10,3,1,FMP
LII,2024-11-01,5,12,3,1,FMP
LII,2024-10-01,6,12,2,1,FMP
LII,2024-09-01,6,12,2,1,FMP
LII,2024-08-01,6,12,5,1,FMP
LII,2024-07-01,6,11,5,1,FMP
LII,2024-06-01,6,11,5,1,FMP
LII,2024-05-01,0,11,5,1,FMP
LII,2024-04-01,0,11,5,1,FMP
LII,2024-03-01,0,11,5,1,FMP
LII,2024-02-01,0,11,5,1,FMP
LII,2024-01-01,0,11,5,1,FMP
LII,2023-12-01,0,11,5,1,FMP
LII,2023-11-01,0,11,5,1,FMP
LII,2023-10-01,0,11,5,1,FMP
LII,2023-09-01,0,11,5,1,FMP
LII,2023-08-01,0,11,5,1,FMP
LII,2023-07-01,0,11,5,1,FMP
